127.0.0.1 - - [16/May/2021:21:59:51 +0700] "GET /zkau/web/7e58939e/css/index.css.dsp HTTP/1.1" 200 13298
127.0.0.1 - - [16/May/2021:21:59:51 +0700] "GET /zkau/web/_zv2014022710/js/zul.lang.wpd HTTP/1.1" 200 1593
127.0.0.1 - - [16/May/2021:22:04:45 +0700] "GET /index HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /login HTTP/1.1" 200 4256
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/js/processing_box.js HTTP/1.1" 200 708
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/js/jquery.highlight-4.js HTTP/1.1" 200 1472
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/css/themes/bootstrap-cerulean.min.css HTTP/1.1" 200 107284
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/js/bootstrap/ext/css/bootstrap.min.css HTTP/1.1" 200 97339
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/css/login.css HTTP/1.1" 200 2097
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/css/ace/ace-rtl.min.css HTTP/1.1" 200 36873
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/js/bootstrap.wpd HTTP/1.1" 200 9640
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/css/ace/ace.min.css HTTP/1.1" 200 359894
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/static/css/ace/ace-skins.min.css HTTP/1.1" 200 75918
127.0.0.1 - - [16/May/2021:22:04:46 +0700] "GET /zkau/web/7e58939e/js/zk.wpd HTTP/1.1" 200 123911
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/7e58939e/zul/css/zk.wcs HTTP/1.1" 200 21551
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zul.lang.wpd HTTP/1.1" 200 1593
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zhtml.wpd HTTP/1.1" 200 1094
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zul.utl.wpd HTTP/1.1" 200 1660
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zul.box.wpd HTTP/1.1" 200 8101
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zul.inp.wpd HTTP/1.1" 200 18595
